;Person;Age;Gender;Group;Container_1;Container_2;Container_3;Container_4;Container_5;Container_6;Container_7;Container_8;Container_9;Container_10;Mean_serial;Mean_questions;Question_1;Question_2;Question_3;Question_4;Question_5;Question_6;Question_7;Question_8;Question_9;Question_10;Question_11;Question_12;Question_13;Question_14;Question_15;Question_16;Question_17;Question_18
1;1;24;female;1;0.797;0.898;0.863;0.842;0.839;0.922;0.892;0.874;1;0.943;0.887;0.88;0.828;0.5;0.829;0.913;0.982;0.83;0.933;0.889;0.979;0.979;0.79;1;0.892;0.881;0.802;0.854;1;0.962
2;2;23;male;2;0.758;0.858;0.906;0.912;0.851;0.838;0.822;0.873;0.866;0.854;0.854;0.839;0.687;0.5;0.707;0.91;0.904;0.843;0.967;0.861;0.94;0.883;0.744;0.964;0.887;0.82;0.778;0.907;0.899;0.906
3;3;19;female;1;0.765;0.654;0.745;0.742;0.721;0.704;0.656;0.788;0.645;0.585;0.701;0.718;0.498;0.125;0.854;0.856;0.654;0.806;0.892;0.7;0.738;0.921;0.556;0.879;0.816;0.79;0.592;0.868;0.662;0.714
4;4;22;male;2;0.715;0.747;0.808;0.845;0.795;0.889;0.793;0.782;0.791;0.863;0.803;0.799;0.83;0.25;0.828;0.801;0.871;0.893;0.867;0.889;0.762;0.908;0.655;0.904;0.826;0.818;0.862;0.784;0.753;0.889
5;5;39;female;1;0.647;0.7;0.711;0.745;0.784;0.799;0.771;0.734;0.933;0.787;0.761;0.755;0.672;0.375;0.742;0.839;0.868;0.848;0.833;0.811;0.767;0.829;0.617;0.929;0.675;0.75;0.604;0.658;0.899;0.868
6;6;22;female;2;0.736;0.787;0.856;0.881;0.863;0.878;0.94;0.895;0.914;0.928;0.868;0.866;0.715;0.5;0.95;0.964;1;0.903;0.849;0.857;0.848;0.961;0.75;0.982;0.877;0.882;0.762;0.917;0.955;0.923
7;7;22;male;1;0.596;0.682;0.766;0.786;0.793;0.812;0.816;0.835;0.85;0.824;0.776;0.773;0.697;0.5;0.684;0.858;0.729;0.76;0.783;0.707;0.89;0.873;0.687;0.946;0.852;0.699;0.721;0.806;0.864;0.868
8;8;36;female;2;0.534;0.623;0.752;0.665;0.737;0.746;0.833;0.804;0.884;0.839;0.701;0.712;0.682;0.25;0.71;0.892;0.732;0.823;0.797;0.689;0.701;0.883;0.565;0.911;0.821;0.705;0.591;0.669;0.854;0.923
9;9;29;male;1;0.717;0.8;0.785;0.899;0.767;0.84;0.931;0.886;0.956;0.864;0.844;0.842;0.852;0.5;0.815;0.849;0.921;0.814;0.957;0.864;0.933;0.943;0.624;0.868;0.897;0.78;0.78;0.844;0.944;0.962
10;10;22;female;2;0.636;0.741;0.782;0.77;0.904;0.853;0.819;0.763;0.806;0.761;0.783;0.791;0.782;0.25;0.689;0.858;0.764;0.92;0.889;0.889;0.915;0.785;0.742;0.875;0.884;0.741;0.799;0.711;0.854;0.885
11;11;18;female;1;0.632;0.706;0.773;0.788;0.877;0.783;0.835;0.864;0.852;0.927;0.804;0.806;0.534;0.5;0.767;0.912;0.911;0.894;0.917;0.668;0.979;0.883;0.539;0.911;0.912;0.799;0.56;0.878;1;0.944
12;12;22;female;2;0.801;0.794;0.845;0.828;0.881;0.856;0.814;0.836;0.963;0.942;0.856;0.846;0.88;0.5;0.762;1;0.804;0.936;0.9;0.871;0.804;0.893;0.739;0.946;0.813;0.794;0.803;0.885;0.944;0.944
13;13;23;male;1;0.766;0.828;0.771;0.822;0.793;0.809;0.826;0.82;0.877;0.812;0.813;0.817;0.632;0.375;0.81;0.924;0.914;0.909;0.889;0.686;0.843;0.982;0.639;0.964;0.849;0.888;0.728;0.864;0.899;0.906
14;14;32;female;2;0.702;0.706;0.783;0.846;0.707;0.829;0.826;0.799;0.904;0.938;0.804;0.79;0.905;0.5;0.611;0.792;0.871;0.729;0.757;0.832;0.92;0.79;0.802;0.879;0.689;0.837;0.906;0.59;1;0.812
15;15;22;female;1;0.761;0.851;0.792;0.855;0.842;0.864;0.851;0.893;0.899;0.84;0.845;0.84;0.875;0.5;0.754;0.899;0.932;0.825;0.975;0.857;1;0.901;0.646;0.946;0.917;0.833;0.722;0.844;0.899;0.791
16;16;38;female;2;0.786;0.716;0.877;0.73;0.786;0.853;0.867;0.854;0.939;0.824;0.823;0.821;0.758;0.5;0.83;0.815;0.939;0.864;0.771;0.932;0.961;0.893;0.497;0.871;0.842;0.868;0.697;0.914;0.909;0.923
17;17;25;female;1;0.61;0.698;0.726;0.774;0.756;0.66;0.735;0.69;0.713;0.844;0.721;0.724;0.668;0.5;0.728;0.77;0.896;0.701;0.439;0.693;0.802;0.738;0.59;0.864;0.733;0.661;0.655;0.842;0.864;0.889
18;18;33;female;2;0.709;0.669;0.788;0.741;0.78;0.769;0.842;0.786;0.881;0.768;0.773;0.775;0.605;0.5;0.752;0.942;0.8;0.85;0.915;0.721;0.912;0.896;0.535;0.896;0.786;0.698;0.572;0.81;0.955;0.808
19;19;22;female;1;0.816;0.742;0.744;0.754;0.727;0.731;0.669;0.724;0.877;0.747;0.753;0.752;0.651;0.375;0.683;0.753;0.886;0.701;0.856;0.743;0.789;0.964;0.446;0.993;0.967;0.811;0.523;0.695;0.955;0.752
