"","Person","Age","Gender","Group","Container","Percentage"
"1",1,24,"female","1","Container_1",0.797
"2",2,23,"male","2","Container_1",0.758
"3",3,19,"female","1","Container_1",0.765
"4",4,22,"male","2","Container_1",0.715
"5",5,39,"female","1","Container_1",0.647
"6",6,22,"female","2","Container_1",0.736
"7",7,22,"male","1","Container_1",0.596
"8",8,36,"female","2","Container_1",0.534
"9",9,29,"male","1","Container_1",0.717
"10",10,22,"female","2","Container_1",0.636
"11",11,18,"female","1","Container_1",0.632
"12",12,22,"female","2","Container_1",0.801
"13",13,23,"male","1","Container_1",0.766
"14",14,32,"female","2","Container_1",0.702
"15",15,22,"female","1","Container_1",0.761
"16",16,38,"female","2","Container_1",0.786
"17",17,25,"female","1","Container_1",0.61
"18",18,33,"female","2","Container_1",0.709
"19",19,22,"female","1","Container_1",0.816
"20",20,23,"male","2","Container_1",0.865
"21",21,32,"female","1","Container_1",0.708
"22",22,33,"female","2","Container_1",0.725
"23",23,31,"male","1","Container_1",0.671
"24",24,23,"female","2","Container_1",0.697
"25",25,20,"male","1","Container_1",0.694
"26",26,25,"female","2","Container_1",0.851
"27",27,20,"male","1","Container_1",0.672
"28",28,26,"male","2","Container_1",0.664
"29",29,18,"female","1","Container_1",0.726
"30",30,19,"female","2","Container_1",0.565
"31",31,18,"female","1","Container_1",0.703
"32",32,22,"female","2","Container_1",0.741
"33",33,24,"female","1","Container_1",0.736
"34",34,22,"male","2","Container_1",0.665
"35",35,20,"female","1","Container_1",0.546
"36",36,18,"female","2","Container_1",0.666
"37",37,27,"female","1","Container_1",0.735
"38",38,19,"female","2","Container_1",0.733
"39",39,20,"female","1","Container_1",0.74
"40",40,19,"female","2","Container_1",0.6
"41",41,18,"female","1","Container_1",0.768
"42",42,19,"female","2","Container_1",0.702
"43",43,20,"female","1","Container_1",0.763
"44",44,18,"female","2","Container_1",0.76
"45",45,18,"male","1","Container_1",0.623
"46",46,24,"female","2","Container_1",0.709
"47",47,18,"female","1","Container_1",0.715
"48",48,18,"female","2","Container_1",0.641
"49",49,22,"female","1","Container_1",0.742
"50",50,22,"female","2","Container_1",0.762
"51",51,20,"female","1","Container_1",0.746
"52",52,22,"male","2","Container_1",0.69
"53",53,18,"female","1","Container_1",0.719
"54",54,18,"female","2","Container_1",0.667
"55",55,18,"female","1","Container_1",0.809
"56",56,18,"female","2","Container_1",0.729
"57",57,18,"female","1","Container_1",0.717
"58",58,18,"female","2","Container_1",0.709
"59",59,18,"female","1","Container_1",0.713
"60",60,18,"female","2","Container_1",0.782
"61",61,21,"male","1","Container_1",0.719
"62",62,19,"male","2","Container_1",0.718
