"","Person","Age","Gender","Group","Questions","Percentage"
"1",1,24,"female","1","Question_1",0.828
"2",2,23,"male","2","Question_1",0.687
"3",3,19,"female","1","Question_1",0.498
"4",4,22,"male","2","Question_1",0.83
"5",5,39,"female","1","Question_1",0.672
"6",6,22,"female","2","Question_1",0.715
"7",7,22,"male","1","Question_1",0.697
"8",8,36,"female","2","Question_1",0.682
"9",9,29,"male","1","Question_1",0.852
"10",10,22,"female","2","Question_1",0.782
"11",11,18,"female","1","Question_1",0.534
"12",12,22,"female","2","Question_1",0.88
"13",13,23,"male","1","Question_1",0.632
"14",14,32,"female","2","Question_1",0.905
"15",15,22,"female","1","Question_1",0.875
"16",16,38,"female","2","Question_1",0.758
"17",17,25,"female","1","Question_1",0.668
"18",18,33,"female","2","Question_1",0.605
"19",19,22,"female","1","Question_1",0.651
"20",20,23,"male","2","Question_1",0.631
"21",21,32,"female","1","Question_1",0.684
"22",22,33,"female","2","Question_1",0.588
"23",23,31,"male","1","Question_1",0.674
"24",24,23,"female","2","Question_1",0.646
"25",25,20,"male","1","Question_1",0.567
"26",26,25,"female","2","Question_1",0.742
"27",27,20,"male","1","Question_1",0.61
"28",28,26,"male","2","Question_1",0.568
"29",29,18,"female","1","Question_1",0.495
"30",30,19,"female","2","Question_1",0.498
"31",31,18,"female","1","Question_1",0.638
"32",32,22,"female","2","Question_1",0.867
"33",33,24,"female","1","Question_1",0.608
"34",34,22,"male","2","Question_1",0.638
"35",35,20,"female","1","Question_1",0.533
"36",36,18,"female","2","Question_1",0.502
"37",37,27,"female","1","Question_1",0.544
"38",38,19,"female","2","Question_1",0.606
"39",39,20,"female","1","Question_1",0.778
"40",40,19,"female","2","Question_1",0.426
"41",41,18,"female","1","Question_1",0.465
"42",42,19,"female","2","Question_1",0.618
"43",43,20,"female","1","Question_1",0.654
"44",44,18,"female","2","Question_1",0.622
"45",45,18,"male","1","Question_1",0.623
"46",46,24,"female","2","Question_1",0.753
"47",47,18,"female","1","Question_1",0.726
"48",48,18,"female","2","Question_1",0.567
"49",49,22,"female","1","Question_1",0.678
"50",50,22,"female","2","Question_1",0.518
"51",51,20,"female","1","Question_1",0.806
"52",52,22,"male","2","Question_1",0.671
"53",53,18,"female","1","Question_1",0.472
"54",54,18,"female","2","Question_1",0.49
"55",55,18,"female","1","Question_1",0.864
"56",56,18,"female","2","Question_1",0.635
"57",57,18,"female","1","Question_1",0.485
"58",58,18,"female","2","Question_1",0.764
"59",59,18,"female","1","Question_1",0.632
"60",60,18,"female","2","Question_1",0.497
"61",61,21,"male","1","Question_1",0.601
"62",62,19,"male","2","Question_1",0.623
"63",63,18,"female","1","Question_1",0.716
"64",64,18,"female","2","Question_1",0.507
"65",65,18,"female","1","Question_1",0.587
"66",1,24,"female","1","Question_3",0.829
"67",2,23,"male","2","Question_3",0.707
"68",3,19,"female","1","Question_3",0.854
"69",4,22,"male","2","Question_3",0.828
"70",5,39,"female","1","Question_3",0.742
"71",6,22,"female","2","Question_3",0.95
"72",7,22,"male","1","Question_3",0.684
"73",8,36,"female","2","Question_3",0.71
"74",9,29,"male","1","Question_3",0.815
"75",10,22,"female","2","Question_3",0.689
"76",11,18,"female","1","Question_3",0.767
"77",12,22,"female","2","Question_3",0.762
"78",13,23,"male","1","Question_3",0.81
"79",14,32,"female","2","Question_3",0.611
"80",15,22,"female","1","Question_3",0.754
"81",16,38,"female","2","Question_3",0.83
"82",17,25,"female","1","Question_3",0.728
"83",18,33,"female","2","Question_3",0.752
"84",19,22,"female","1","Question_3",0.683
"85",20,23,"male","2","Question_3",0.883
"86",21,32,"female","1","Question_3",0.722
"87",22,33,"female","2","Question_3",0.811
"88",23,31,"male","1","Question_3",0.784
"89",24,23,"female","2","Question_3",0.871
"90",25,20,"male","1","Question_3",0.833
"91",26,25,"female","2","Question_3",0.901
"92",27,20,"male","1","Question_3",0.768
"93",28,26,"male","2","Question_3",0.774
"94",29,18,"female","1","Question_3",0.804
